信息大小:0	LinkID:0	Flag:0	岔路数:0	番号:0	无道路名称
信息大小:30	LinkID:2	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:4	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:6	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:8	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:10	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:12	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:14	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:16	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:18	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:20	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:22	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:24	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:26	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:28	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:30	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:32	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:34	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:36	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:38	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:40	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:42	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:44	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:46	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:48	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:50	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:52	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:54	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:56	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:58	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:60	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:62	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:64	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:66	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:68	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:70	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:72	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
信息大小:30	LinkID:74	Flag:1	岔路数:0	番号:4	道路名称:１＝沪杭高速公路
